,NumberofBuildings,NumberofFloors,PropertyGFAParking,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,LogSiteEnergyUseWN(kBtu),LogPropertyGFATotal,LogPropertyGFABuilding(s),LogLargestPropertyUseTypeGFA,LogGHGEmissionsIntensity,HasGas,HasSteam,Decennie,TotalPourcentGFAParking,TotalPourcentLargestProperty,TotalPourcent2ndLargestProperty,TotalPourcent3rdLargestProperty,TotalPourcentBuildings,BALLARD,Ballard,CENTRAL,Central,DELRIDGE,DELRIDGE NEIGHBORHOODS,DOWNTOWN,Delridge,EAST,GREATER DUWAMISH,LAKE UNION,MAGNOLIA / QUEEN ANNE,NORTH,NORTHEAST,NORTHWEST,North,Northwest,SOUTHEAST,SOUTHWEST,Distribution Center,Hospital,Hotel,K-12 School,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Retail Store,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,Warehouse,Worship Facility,Adult Education,Automobile Dealership,Bank Branch,Courthouse,Data Center,Distribution Center,Financial Office,Fire Station,Fitness Center/Health Club/Gym,Food Service,Hospital (General Medical & Surgical),Hotel,K-12 School,Laboratory,Library,Lifestyle Center,Manufacturing/Industrial Plant,Medical Office,Movie Theater,Multifamily Housing,Museum,Non-Refrigerated Warehouse,Office,Other,Other - Education,Other - Entertainment/Public Assembly,Other - Lodging/Residential,Other - Mall,Other - Public Services,Other - Recreation,Other - Restaurant/Bar,Other - Services,Other - Utility,Other/Specialty Hospital,Parking,Performing Arts,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Police Station,Pre-school/Daycare,Prison/Incarceration,Refrigerated Warehouse,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Residence Hall/Dormitory,Residential Care Facility,Restaurant,Retail Store,Senior Care Community,Social/Meeting Hall,Strip Mall,Supermarket/Grocery Store,Urgent Care/Clinic/Other Outpatient,Wholesale Club/Supercenter,Worship Facility,
0,1.0,12,0,,,60.0,15.824651811360166,11.390023097868895,11.390023097868895,11.390023097868895,1.3428648031925547,1,1,1920,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,11,15064,15064.0,4622.0,61.0,15.974742467790398,11.547974025246633,11.39079172872657,11.33715440673783,1.3506671834767394,1,0,1990,14.545314099221752,80.99183129598516,14.545314099221752,4.462854604793079,85.45468590077824,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,41,196718,,,43.0,18.118725465538716,13.770629294080045,13.540274708933826,13.536449880916702,1.1600209167967532,1,1,1960,20.574829256047945,79.1219629540534,,,79.42517074395205,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,10,0,,,56.0,15.75379189578183,11.023877640745798,11.023877640745798,11.023877640745798,1.7351891177396608,1,1,1920,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,18,62000,68009.0,0.0,75.0,16.50039475395106,12.075855753873482,11.640271517759631,11.723559092466278,1.355835153635182,1,0,1980,35.311538899646884,70.30698257204693,38.73391046816266,0.0,64.68846110035311,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,2,37198,,,72.0,16.34775496848794,11.48544120936798,11.003615358893612,11.394490967158449,1.410986973710262,1,0,1990,38.234931337883395,91.30622481703807,,,61.765068662116605,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
6,1.0,11,0,,,27.0,15.617677101906956,11.326704314635162,11.326704314635162,11.306552989656216,1.1378330018213911,1,0,1920,0.0,98.00501156515034,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,8,0,,,72.0,15.771071488061695,11.540170913860424,11.540170913860424,11.540170913860424,1.1505720275988207,1,1,1920,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,15,0,,,43.0,16.468333772936266,12.007530239208668,12.007530239208668,12.007530239208668,1.220829921392359,1,0,1900,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,11,19279,,,30.0,16.627736433076585,11.9392645217297,11.804736501505687,11.804736501505687,1.706564623164823,1,1,1960,12.587243655452035,87.41275634454797,,,87.41275634454797,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,25,61161,,,36.0,17.11394090982675,12.716429159281265,12.51361616707751,12.726772359619336,1.169381359556317,1,1,1990,18.356964487237978,101.03969073402646,,,81.64303551276203,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.0,9,0,,,48.0,15.665337735831763,11.082296383198514,11.082296383198514,11.082296383198514,1.80005827204275,1,1,1920,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,33,57600,57600.0,,58.0,16.93013409730517,12.66334874732981,12.462082145801965,12.596464724140818,1.1151415906193203,1,1,1980,18.230617308958323,93.53034638172888,18.230617308958323,,81.76938269104167,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
